open,high,low,close,volume,trade_count,vwap,return,lagged_return
210.16,210.32,209.41,209.91,2589010,15685,209.851165,-0.4877124863866711,0.5954082118700521
209.26,209.77,209.02,209.48,2524696,13887,209.427672,-0.42824514655500634,-0.4877124863866711
209.31,209.66,208.975,209.17,2740993,13712,209.287327,0.0238937207301948,-0.42824514655500634
209.58,209.61,208.43,208.61,3173098,18431,208.996773,0.1289952701734265,0.0238937207301948
208.74,209.09,207.868,208.67,4430109,21382,208.579305,-0.4008016032064132,0.1289952701734265
209.69,209.7,208.36,209.15,3003984,17600,209.004202,0.4551116221136242,-0.4008016032064132
209.13,209.34,208.585,208.94,2261813,15724,208.886816,-0.2670608994229551,0.4551116221136242
208.57,208.88,207.98,208.54,4433001,17336,208.643543,-0.26777602448238014,-0.2670608994229551
208.83,209.91,208.7101,209.58,5736969,25795,209.299317,0.1246583880711638,-0.26777602448238014
210.17,210.17,209.05,209.44,3018383,19020,209.501477,0.6416702581046652,0.1246583880711638
209.53,209.53,208.83,208.86,2873236,16098,209.15997,-0.3045153923014632,0.6416702581046652
208.85,209.27,208.56,208.81,3308571,11641,208.880306,-0.32453586598577555,-0.3045153923014632
209.4,209.43,206.25,206.35,6192436,36164,207.178417,0.26334689968878777,-0.32453586598577555
205.96,206.57,205.5007,206.41,3898464,22435,206.087548,-1.6427889207258795,0.26334689968878777
206.03,207.3,205.91,206.31,3839976,21102,206.566884,0.03398718197706874,-1.6427889207258795
206.58,206.9,205.0,205.75,4052695,23512,205.990737,0.26695141484249785,0.03398718197706874
204.18,205.505,203.81,205.23,4559589,24768,204.787534,-1.1617775196050006,0.26695141484249785
205.08,207.07,204.91,206.75,3538040,19336,206.182658,0.4407875404055295,-1.1617775196050006
206.53,206.56,205.945,206.31,2323900,12433,206.305184,0.7070411546713506,0.4407875404055295
206.3,207.26,206.15,206.96,2849212,15000,206.755412,-0.1113639664939714,0.7070411546713506
206.72,206.93,206.3,206.34,4179559,22483,206.691656,0.20358700920988237,-0.1113639664939714
206.52,206.63,204.88,206.25,4436098,25844,205.883288,-0.09674922600618752,0.20358700920988237
206.02,206.77,205.81,206.65,2555339,12261,206.441845,-0.2421073019562292,-0.09674922600618752
207.59,208.65,206.16,206.26,4110448,25032,207.514681,0.7620619357343816,-0.2421073019562292
206.45,207.29,205.92,206.45,3186890,16340,206.545774,-0.5491594007418499,0.7620619357343816
206.19,207.07,205.89,206.38,2609251,15555,206.489965,-0.12593848389440554,-0.5491594007418499
206.49,207.32,205.95,206.39,2395161,15061,206.687164,0.14549687181726334,-0.12593848389440554
206.22,206.42,204.94,206.33,3511470,22659,205.828351,-0.13075693738195948,0.14549687181726334
206.3,206.3,205.35,205.67,2181729,12692,205.844528,0.03879352148192794,-0.13075693738195948
205.34,205.94,204.36,204.37,3605178,21332,205.069096,-0.4653417353368883,0.03879352148192794
204.93,206.26,204.86,206.17,2260907,14138,205.656094,-0.19966884192071932,-0.4653417353368883
205.4,205.81,204.42,205.08,2497919,15145,205.050926,0.22934660615820945,-0.19966884192071932
205.26,205.3,203.64,203.85,3606413,20344,204.434757,-0.06815968841286102,0.22934660615820945
204.37,206.21,204.17,205.7,3873706,20396,205.218543,-0.43359641430380513,-0.06815968841286102
205.5,205.7284,204.77,205.25,3034835,15002,205.4144,0.5529187258403789,-0.43359641430380513
207.3,207.63,207.03,207.38,3220158,19996,207.397003,0.8759124087591275,0.5529187258403789
208.95,209.98,208.84,209.68,3483635,19633,209.544617,0.7959479015918758,0.8759124087591275
209.81,210.43,209.44,209.47,2865327,18038,209.973505,0.4115817181143955,0.7959479015918758
209.73,209.77,209.06,209.56,1951683,11984,209.469019,-0.03812973642820516,0.4115817181143955
209.63,209.63,208.97,209.08,1934014,11682,209.18923,-0.04768035092738154,-0.03812973642820516
209.49,209.49,208.7,208.92,1886009,12095,209.162771,-0.06678433430329367,-0.04768035092738154
209.1,209.3,208.754,209.13,1359664,8940,209.056914,-0.18616640412431051,-0.06678433430329367
208.87,209.47,208.47,209.22,1829363,10396,209.016539,-0.1099952175992347,-0.18616640412431051
209.65,209.65,208.198,209.19,2640119,11453,209.075762,0.3734380236510848,-0.1099952175992347
209.07,209.78,208.76,209.77,1673787,10313,209.297632,-0.2766515621273613,0.3734380236510848
209.66,210.02,209.53,209.92,2311048,11450,209.767578,0.28220213325680366,-0.2766515621273613
210.14,210.32,209.2231,209.62,1570111,10504,209.832782,0.22894209672803534,0.28220213325680366
209.19,209.81,208.9,209.48,1394296,9360,209.390336,-0.4520795660036159,0.22894209672803534
209.14,209.45,208.1,209.28,3093717,13198,209.025943,-0.023901716143226448,-0.4520795660036159
208.97,209.28,208.82,209.01,1575490,9102,209.033435,-0.08128526345987375,-0.023901716143226448
209.4,210.13,209.4,209.93,1818522,11618,209.878061,0.20577116332487488,-0.08128526345987375
210.32,210.46,209.46,209.95,1746608,10044,209.949801,0.4393505253104113,0.20577116332487488
208.12,208.59,206.37,206.47,5717401,28674,207.776928,-1.0460251046025104,0.4393505253104113
205.96,207.96,205.855,206.96,6653817,31404,206.646598,-1.037862771477993,-1.0460251046025104
206.75,208.31,206.58,207.77,4892838,19848,207.353988,0.38356962516992166,-1.037862771477993
208.32,208.87,208.32,208.65,2246188,12802,208.62526,0.759371221281735,0.38356962516992166
209.1,209.35,208.69,209.12,3457531,15140,209.094403,0.3744239631336521,0.759371221281735
209.32,209.96,209.075,209.82,3483187,13336,209.390274,0.10521281683404382,0.3744239631336521
210.52,210.92,210.3,210.58,2198248,11939,210.526768,0.573284922606554,0.10521281683404382
210.54,210.719,210.32,210.54,1152162,7832,210.543169,0.009500285008545717,0.573284922606554
